휴양림명,소재지도로명주소
불정자연휴양림,경상북도 문경시 불정길 180
계명산자연휴양림(휴장),경상북도 안동시 길안면 고란길 207-99
태학산자연휴양림,충청남도 천안시 동남구 풍세면 휴양림길 127
성불산자연휴양림,충청북도 괴산군 괴산읍 충민로기곡길 78
갯골자연휴양림,강원특별자치도 인제군 인제로 103번길 577
하추자연휴양림,강원특별자치도 인제군 인제읍 하추로686
독용산성 자연휴양림,경상북도 성주군 금수강산면 사더래길 144
청태산휴양림,강원도 횡성군 둔내면 청태산로 610
숲체원,강원도 횡성군 둔내면 청태산로 777
주천강자연휴양림,강원도 횡성군 둔내면 강변로 영랑6길 115
횡성자연휴양림,강원도 횡성군 갑천면 정포로 430번길 113
두루웰자연휴양림,강원도 철원군 갈말읍 지경1길 69
영인산자연휴양림,충청남도 아산시 영인면 아산온천로 16-26
방장산자연휴양림,전라남도 장성군 북이면 방장로 353
국립방장산자연휴양림,전라남도 장성군 서삼면 추암로 716
장항송림자연휴양림,충청남도 서천군 장항읍 장항산단로34번길 60-23
국립희리산해송자연휴양림,충청남도 서천군 종천면 희리산길 206
순천자연휴양림,전라남도 순천시 서면 청소년수련원길 170
기찬자연휴양림,전라남도 영암군 미암면 곤미현로 1190-76
용지봉자연휴양림(김해),경상남도 김해시 대청계곡길 170-36
산삼휴양밸리(대봉캠핑랜드),경상남도 함양군 병곡면 원산지소길 192
오도산자연휴양림(합천),경상남도 합천군 봉산면 오도산휴양로 398
삼척활기자연휴양림,강원특별자치도 삼척시 미로면 준경길 651-43
서운산자연휴양림,경기도 안성시 금광면 배티로 185-39
한방자연휴양림,경상남도 산청군 금서면 동의보감로555번길 186
팔영산자연휴양림,전라남도 고흥군 영남면 팔영로 1347-418
여수봉황산자연휴양림,전라남도 여수시 돌산읍 대복길160
장태산자연휴양림,대전광역시 서구 장안로 461
만인산자연휴양림,대전광역시 동구 산내로 106
백야자연휴양림,충청북도 음성군 금왕읍 백야로 461-97
수레의산자연휴양림,충청북도 음성군 생극면 차생로 310-108
양을산산림욕장,전라남도 목포시 양을로 397번길
송정자연휴양림,경상북도 칠곡군 석적읍 반계3길 88
간월자연휴양림,울산광역시 울주군 상북면 등억알프스로 607-15
민주지산자연휴양림,충청북도 영동군 용화면 휴양림길 60
속리산 숲체험휴양마을,충청북도 보은군 속리산면 속리산로 596
충북알프스자연휴양림,충청북도 보은군 산외면 속리산로 1880
고산자연휴양림,전북특별자치도 완주군 고산면 고산휴양림로 246
문수산자연휴양림,경상북도 봉화군 봉성면 시거리길 378
성주봉자연휴양림,경상북도 상주시 은척면 성주봉로 3
소백산자연휴양림,충청북도 단양군 영춘면 하리방터길 180
소선암자연휴양림,충청북도 단양군 단성면 대잠2길15
국망봉자연휴양림,경기도 포천시 이동면 늠바위길 207-28
천보산자연휴양림,경기도 포천시 원동교길 309
사천케이블카자연휴양림(사천),경상남도 사천시 실안길 242-45
월아산자연휴양림(진주),경상남도 진주시 진성면 달음산로 313
가리산자연휴양림,강원특별자치도 홍천군 두촌면 가리산길 426
태백고원자연휴양림,강원특별자치도 태백시 머리골길153
용궐산자연휴양림,전라북도 순창군 동계면 장군목길 538-19
회문산자연휴양림,전라북도 순창군 구림면 안심길 295
설매재자연휴양림,경기도 양평군 옥천면 용천로 510
양평쉬자파크,경기도 양평군 양평읍 쉬자파크길 193
용문산자연휴양림,경기도 양평군 양평읍 약수사길 78-14
영양에코둥지,경상북도 영양군 일월면 재일로 2394-70
강씨봉자연휴양림,경기도 가평군 북면 논남기길 520
축령산자연휴양림,경기도 남양주시 수동면 축령산로 299
남해편백자연휴양림,경상남도 남해군 삼동면 금암로 658
안동호반자연휴양림,경상북도 안동시 도산면 월천길 100-7
팔공산금화자연휴양림,경상북도 칠곡군 가산면 가산로 323
금원산자연휴양림(거창),경상남도 거창군 위천면 금원산길 471-27
산삼자연휴양림(함양),경상남도 함양군 서상면 가르내길 202-1
대봉산자연휴양림(함양),경상남도 함양군 병곡면 병곡지곡로 333
용추자연휴양림(함양),경상남도 함양군 안의면 용추휴양림길 166
한방자연휴양림(산청),경상남도 산청군 금서면 동의보감로 555번길 186
치악산자연휴양림,강원특별자치도 원주시 판부면 휴양림길 66
공주산림휴양마을,충청남도 공주시 수원지공원길 222
하동편백자연휴양림,경상남도 하동군 옥종면 돌고지로 1088-51
구재봉자연휴양림(하동),경상남도 하동군 적량면 중서길 60-81
화왕산자연휴양림(창녕),경상남도 창녕군 고암면 청간길 128-126
자굴산자연휴양림(의령),경상남도 의령군 가례면 자굴산휴양로 23
대운산자연휴양림(양산),경상남도 양산시 탑골길 270
